NACE2,EXIOBASE name,EXIOBASE code
35.21,Biogas,p40.2.e
35.21,Oxygen Steel Furnace Gas,p40.2.c
35.21,Gas Works Gas,p40.2.d
35.22,Distribution services of gaseous fuels through mains,p40.2.1
35.23,Distribution services of gaseous fuels through mains,p40.2.1
35.3,Steam and hot water supply services,p40.3
36.0,"Collected and purified water, distribution services of water (41)",p41
37.0,Food waste to waste water treatment,p90.4.a
37.0,Other waste to waste water treatment,p90.4.b
38.11,Food  waste to biogas treatment,p90.2.a
38.11,Paper waste to biogas treatment,p90.2.b
38.11,Food waste to Landfill,p90.5.a
38.11,Food waste to composting,p90.3.a
38.11,Paper and wood to composting,p90.3.b
38.11,Paper waste to Landfill,p90.5.b
38.11,Plastic waste to Landfill,p90.5.c
38.11,Sewage sludge to biogas treatment,p90.2.c
38.11,Paper waste to incineration,p90.1.b
38.11,Wood waste to Landfill,p90.5.f
38.11,Food waste to incineration,p90.1.a
38.11,Oil/hazardous waste to incineration,p90.1.g
38.11,Textiles waste to incineration,p90.1.e
38.11,Wood waste to incineration,p90.1.f
38.11,Plastic waste to incineration,p90.1.c
38.11,Inert/metal/hazardous waste to Landfill,p90.5.d
38.11,Inert/metal waste to incineration,p90.1.d
38.11,Textiles waste to Landfill,p90.5.e
38.12,Inert/metal waste to incineration,p90.1.d
38.12,Paper waste to biogas treatment,p90.2.b
38.12,Textiles waste to incineration,p90.1.e
38.12,Paper and wood to composting,p90.3.b
38.12,Wood waste to incineration,p90.1.f
38.12,Sewage sludge to biogas treatment,p90.2.c
38.12,Food waste to incineration,p90.1.a
38.12,Plastic waste to incineration,p90.1.c
38.12,Food waste to composting,p90.3.a
38.12,Wood waste to Landfill,p90.5.f
38.12,Food  waste to biogas treatment,p90.2.a
38.12,Plastic waste to Landfill,p90.5.c
38.12,Oil/hazardous waste to incineration,p90.1.g
38.12,Paper waste to Landfill,p90.5.b
38.12,Textiles waste to Landfill,p90.5.e
38.12,Paper waste to incineration,p90.1.b
38.12,Inert/metal/hazardous waste to Landfill,p90.5.d
38.12,Food waste to Landfill,p90.5.a
38.21,Textiles waste to incineration,p90.1.e
38.21,Paper waste to Landfill,p90.5.b
38.21,Inert/metal waste to incineration,p90.1.d
38.21,Sewage sludge to biogas treatment,p90.2.c
38.21,Wood waste to incineration,p90.1.f
38.21,Oil/hazardous waste to incineration,p90.1.g
38.21,Food waste to incineration,p90.1.a
38.21,Food waste to composting,p90.3.a
38.21,Food waste to Landfill,p90.5.a
38.21,Plastic waste to Landfill,p90.5.c
38.21,Food  waste to biogas treatment,p90.2.a
38.21,Wood waste to Landfill,p90.5.f
38.21,Paper waste to incineration,p90.1.b
38.21,Textiles waste to Landfill,p90.5.e
38.21,Plastic waste to incineration,p90.1.c
38.21,Paper and wood to composting,p90.3.b
38.21,Inert/metal/hazardous waste to Landfill,p90.5.d
38.21,Paper waste to biogas treatment,p90.2.b
38.22,Food  waste to biogas treatment,p90.2.a
38.22,Paper waste to Landfill,p90.5.b
38.22,Plastic waste to Landfill,p90.5.c
38.22,Inert/metal waste to incineration,p90.1.d
38.22,Paper and wood to composting,p90.3.b
38.22,Textiles waste to incineration,p90.1.e
38.22,Inert/metal/hazardous waste to Landfill,p90.5.d
38.22,Oil/hazardous waste to incineration,p90.1.g
38.22,Sewage sludge to biogas treatment,p90.2.c
38.22,Wood waste to incineration,p90.1.f
38.22,Food waste to incineration,p90.1.a
38.22,Food waste to Landfill,p90.5.a
38.22,Food waste to composting,p90.3.a
38.22,Wood waste to Landfill,p90.5.f
38.22,Textiles waste to Landfill,p90.5.e
38.22,Paper waste to incineration,p90.1.b
38.22,Paper waste to biogas treatment,p90.2.b
38.22,Plastic waste to incineration,p90.1.c
38.31,Secondary raw materials,p37
38.32,Secondary raw materials,p37
38.32,Glass bottles directly reused,p37.w.1
39.0,Paper waste to biogas treatment,p90.2.b
39.0,Inert/metal waste to incineration,p90.1.d
39.0,Food  waste to biogas treatment,p90.2.a
39.0,Textiles waste to incineration,p90.1.e
39.0,Wood waste to incineration,p90.1.f
39.0,Wood waste to Landfill,p90.5.f
39.0,Paper waste to incineration,p90.1.b
39.0,Textiles waste to Landfill,p90.5.e
39.0,Plastic waste to incineration,p90.1.c
39.0,Plastic waste to Landfill,p90.5.c
39.0,Sewage sludge to biogas treatment,p90.2.c
39.0,Food waste to composting,p90.3.a
39.0,Inert/metal/hazardous waste to Landfill,p90.5.d
39.0,Paper and wood to composting,p90.3.b
39.0,Food waste to incineration,p90.1.a
39.0,Paper waste to Landfill,p90.5.b
39.0,Food waste to Landfill,p90.5.a
39.0,Oil/hazardous waste to incineration,p90.1.g
41.1,Construction waste to recycling,p45.w
41.1,Construction work (45),p45
41.2,Construction waste to recycling,p45.w
41.2,Construction work (45),p45
42.11,Construction waste to recycling,p45.w
42.11,Construction work (45),p45
42.12,Construction waste to recycling,p45.w
42.12,Construction work (45),p45
42.13,Construction waste to recycling,p45.w
42.13,Construction work (45),p45
42.21,Construction work (45),p45
42.21,Construction waste to recycling,p45.w
42.22,Construction work (45),p45
42.22,Construction waste to recycling,p45.w
42.91,Construction work (45),p45
42.91,Construction waste to recycling,p45.w
42.99,Construction waste to recycling,p45.w
42.99,Construction work (45),p45
43.11,Construction waste to recycling,p45.w
43.11,Construction work (45),p45
43.12,Construction work (45),p45
43.12,Construction waste to recycling,p45.w
43.13,Construction work (45),p45
43.13,Construction waste to recycling,p45.w
43.21,Construction waste to recycling,p45.w
43.21,Construction work (45),p45
43.22,Construction waste to recycling,p45.w
43.22,Construction work (45),p45
43.29,Construction waste to recycling,p45.w
43.29,Construction work (45),p45
43.31,Construction work (45),p45
43.31,Construction waste to recycling,p45.w
43.32,Construction work (45),p45
43.32,Construction waste to recycling,p45.w
43.33,Construction work (45),p45
43.33,Construction waste to recycling,p45.w
43.34,Construction waste to recycling,p45.w
43.34,Construction work (45),p45
43.39,Construction waste to recycling,p45.w
43.39,Construction work (45),p45
43.91,Construction work (45),p45
43.91,Construction waste to recycling,p45.w
43.99,Construction work (45),p45
43.99,Construction waste to recycling,p45.w
45.11,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",p50.a
45.19,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",p50.a
45.2,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",p50.a
45.31,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",p50.a
45.32,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",p50.a
45.4,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",p50.a
46.11,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.12,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.13,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.14,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.15,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.16,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.17,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.18,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.19,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.21,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.22,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.23,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.24,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.31,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.32,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.33,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.34,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.35,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.36,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.37,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.38,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.39,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
46.41,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51
